団体コード,都道府県名,市区町村名,エリアレベル
-,合計,-,level0
010006,北海道,-,level1
011002,北海道,札幌市,level2
011011,北海道,札幌市中央区,level3
011029,北海道,札幌市北区,level3
011037,北海道,札幌市東区,level3
011045,北海道,札幌市白石区,level3
011053,北海道,札幌市豊平区,level3
011061,北海道,札幌市南区,level3
011070,北海道,札幌市西区,level3
011088,北海道,札幌市厚別区,level3
011096,北海道,札幌市手稲区,level3
011100,北海道,札幌市清田区,level3
012025,北海道,函館市,level3
012033,北海道,小樽市,level3
012041,北海道,旭川市,level3
012050,北海道,室蘭市,level3
012068,北海道,釧路市,level3
012076,北海道,帯広市,level3
012084,北海道,北見市,level3
012092,北海道,夕張市,level3
012106,北海道,岩見沢市,level3
012114,北海道,網走市,level3
012122,北海道,留萌市,level3
012131,北海道,苫小牧市,level3
012149,北海道,稚内市,level3
012157,北海道,美唄市,level3
012165,北海道,芦別市,level3
012173,北海道,江別市,level3
012181,北海道,赤平市,level3
012190,北海道,紋別市,level3
012203,北海道,士別市,level3
012211,北海道,名寄市,level3
012220,北海道,三笠市,level3
012238,北海道,根室市,level3
012246,北海道,千歳市,level3
012254,北海道,滝川市,level3
012262,北海道,砂川市,level3
012271,北海道,歌志内市,level3
012289,北海道,深川市,level3
012297,北海道,富良野市,level3
012301,北海道,登別市,level3
012319,北海道,恵庭市,level3
012335,北海道,伊達市,level3
012343,北海道,北広島市,level3
012351,北海道,石狩市,level3
012360,北海道,北斗市,level3
013030,北海道,石狩郡当別町,level3
013048,北海道,石狩郡新篠津村,level3
013315,北海道,松前郡松前町,level3
013323,北海道,松前郡福島町,level3
013331,北海道,上磯郡知内町,level3
013340,北海道,上磯郡木古内町,level3
013374,北海道,亀田郡七飯町,level3
013439,北海道,茅部郡鹿部町,level3
013455,北海道,茅部郡森町,level3
013463,北海道,二海郡八雲町,level3
013471,北海道,山越郡長万部町,level3
013617,北海道,檜山郡江差町,level3
013625,北海道,檜山郡上ノ国町,level3
013633,北海道,檜山郡厚沢部町,level3
013641,北海道,爾志郡乙部町,level3
013676,北海道,奥尻郡奥尻町,level3
013706,北海道,瀬棚郡今金町,level3
013714,北海道,久遠郡せたな町,level3
013919,北海道,島牧郡島牧村,level3
013927,北海道,寿都郡寿都町,level3
013935,北海道,寿都郡黒松内町,level3
013943,北海道,磯谷郡蘭越町,level3
013951,北海道,虻田郡ニセコ町,level3
013960,北海道,虻田郡真狩村,level3
013978,北海道,虻田郡留寿都村,level3
013986,北海道,虻田郡喜茂別町,level3
013994,北海道,虻田郡京極町,level3
014001,北海道,虻田郡倶知安町,level3
014010,北海道,岩内郡共和町,level3
014028,北海道,岩内郡岩内町,level3
014036,北海道,古宇郡泊村,level3
014044,北海道,古宇郡神恵内村,level3
014052,北海道,積丹郡積丹町,level3
014061,北海道,古平郡古平町,level3
014079,北海道,余市郡仁木町,level3
014087,北海道,余市郡余市町,level3
014095,北海道,余市郡赤井川村,level3
014231,北海道,空知郡南幌町,level3
014249,北海道,空知郡奈井江町,level3
014257,北海道,空知郡上砂川町,level3
014273,北海道,夕張郡由仁町,level3
014281,北海道,夕張郡長沼町,level3
014290,北海道,夕張郡栗山町,level3
014303,北海道,樺戸郡月形町,level3
014311,北海道,樺戸郡浦臼町,level3
014320,北海道,樺戸郡新十津川町,level3
014338,北海道,雨竜郡妹背牛町,level3
014346,北海道,雨竜郡秩父別町,level3
014362,北海道,雨竜郡雨竜町,level3
014371,北海道,雨竜郡北竜町,level3
014389,北海道,雨竜郡沼田町,level3
014524,北海道,上川郡鷹栖町,level3
014532,北海道,上川郡東神楽町,level3
014541,北海道,上川郡当麻町,level3
014559,北海道,上川郡比布町,level3
014567,北海道,上川郡愛別町,level3
014575,北海道,上川郡上川町,level3
014583,北海道,上川郡東川町,level3
014591,北海道,上川郡美瑛町,level3
014605,北海道,空知郡上富良野町,level3
014613,北海道,空知郡中富良野町,level3
014621,北海道,空知郡南富良野町,level3
014630,北海道,勇払郡占冠村,level3
014648,北海道,上川郡和寒町,level3
014656,北海道,上川郡剣淵町,level3
014681,北海道,上川郡下川町,level3
014699,北海道,中川郡美深町,level3
014702,北海道,中川郡音威子府村,level3
014711,北海道,中川郡中川町,level3
014729,北海道,雨竜郡幌加内町,level3
014818,北海道,増毛郡増毛町,level3
014826,北海道,留萌郡小平町,level3
014834,北海道,苫前郡苫前町,level3
014842,北海道,苫前郡羽幌町,level3
014851,北海道,苫前郡初山別村,level3
014869,北海道,天塩郡遠別町,level3
014877,北海道,天塩郡天塩町,level3
015113,北海道,宗谷郡猿払村,level3
015121,北海道,枝幸郡浜頓別町,level3
015130,北海道,枝幸郡中頓別町,level3
015148,北海道,枝幸郡枝幸町,level3
015164,北海道,天塩郡豊富町,level3
015172,北海道,礼文郡礼文町,level3
015181,北海道,利尻郡利尻町,level3
015199,北海道,利尻郡利尻富士町,level3
015202,北海道,天塩郡幌延町,level3
015431,北海道,網走郡美幌町,level3
015440,北海道,網走郡津別町,level3
015458,北海道,斜里郡斜里町,level3
015466,北海道,斜里郡清里町,level3
015474,北海道,斜里郡小清水町,level3
015491,北海道,常呂郡訓子府町,level3
015504,北海道,常呂郡置戸町,level3
015521,北海道,常呂郡佐呂間町,level3
015555,北海道,紋別郡遠軽町,level3
015598,北海道,紋別郡湧別町,level3
015601,北海道,紋別郡滝上町,level3
015610,北海道,紋別郡興部町,level3
015628,北海道,紋別郡西興部村,level3
015636,北海道,紋別郡雄武町,level3
015644,北海道,網走郡大空町,level3
015717,北海道,虻田郡豊浦町,level3
015750,北海道,有珠郡壮瞥町,level3
015784,北海道,白老郡白老町,level3
015814,北海道,勇払郡厚真町,level3
015849,北海道,虻田郡洞爺湖町,level3
015857,北海道,勇払郡安平町,level3
015865,北海道,勇払郡むかわ町,level3
016012,北海道,沙流郡日高町,level3
016021,北海道,沙流郡平取町,level3
016047,北海道,新冠郡新冠町,level3
016071,北海道,浦河郡浦河町,level3
016080,北海道,様似郡様似町,level3
016098,北海道,幌泉郡えりも町,level3
016101,北海道,日高郡新ひだか町,level3
016314,北海道,河東郡音更町,level3
016322,北海道,河東郡士幌町,level3
016331,北海道,河東郡上士幌町,level3
016349,北海道,河東郡鹿追町,level3
016357,北海道,上川郡新得町,level3
016365,北海道,上川郡清水町,level3
016373,北海道,河西郡芽室町,level3
016381,北海道,河西郡中札内村,level3
016390,北海道,河西郡更別村,level3
016411,北海道,広尾郡大樹町,level3
016420,北海道,広尾郡広尾町,level3
016438,北海道,中川郡幕別町,level3
016446,北海道,中川郡池田町,level3
016454,北海道,中川郡豊頃町,level3
016462,北海道,中川郡本別町,level3
016471,北海道,足寄郡足寄町,level3
016489,北海道,足寄郡陸別町,level3
016497,北海道,十勝郡浦幌町,level3
016616,北海道,釧路郡釧路町,level3
016624,北海道,厚岸郡厚岸町,level3
016632,北海道,厚岸郡浜中町,level3
016641,北海道,川上郡標茶町,level3
016659,北海道,川上郡弟子屈町,level3
016675,北海道,阿寒郡鶴居村,level3
016683,北海道,白糠郡白糠町,level3
016918,北海道,野付郡別海町,level3
016926,北海道,標津郡中標津町,level3
016934,北海道,標津郡標津町,level3
016942,北海道,目梨郡羅臼町,level3
016951,北海道,色丹郡色丹村,level2
016969,北海道,国後郡泊村,level2
016977,北海道,国後郡留夜別村,level2
016985,北海道,択捉郡留別村,level2
016993,北海道,紗那郡紗那村,level2
017001,北海道,蘂取郡蘂取村,level2
020001,青森県,-,level1
022012,青森県,青森市,level3
022021,青森県,弘前市,level3
022039,青森県,八戸市,level3
022047,青森県,黒石市,level3
022055,青森県,五所川原市,level3
022063,青森県,十和田市,level3
022071,青森県,三沢市,level3
022080,青森県,むつ市,level3
022098,青森県,つがる市,level3
022101,青森県,平川市,level3
023001,青森県,東津軽郡,level2
023019,青森県,東津軽郡平内町,level3
023035,青森県,東津軽郡今別町,level3
023043,青森県,東津軽郡蓬田村,level3
023078,青森県,東津軽郡外ヶ浜町,level3
023205,青森県,西津軽郡,level2
023213,青森県,西津軽郡鰺ヶ沢町,level3
023230,青森県,西津軽郡深浦町,level3
023400,青森県,中津軽郡,level2
023434,青森県,中津軽郡西目屋村,level3
023604,青森県,南津軽郡,level2
023612,青森県,南津軽郡藤崎町,level3
023621,青森県,南津軽郡大鰐町,level3
023671,青森県,南津軽郡田舎館村,level3
023809,青森県,北津軽郡,level2
023817,青森県,北津軽郡板柳町,level3
023841,青森県,北津軽郡鶴田町,level3
023876,青森県,北津軽郡中泊町,level3
024007,青森県,上北郡,level2
024015,青森県,上北郡野辺地町,level3
024023,青森県,上北郡七戸町,level3
024058,青森県,上北郡六戸町,level3
024066,青森県,上北郡横浜町,level3
024082,青森県,上北郡東北町,level3
024112,青森県,上北郡六ヶ所村,level3
024121,青森県,上北郡おいらせ町,level3
024201,青森県,下北郡,level2
024236,青森県,下北郡大間町,level3
024244,青森県,下北郡東通村,level3
024252,青森県,下北郡風間浦村,level3
024261,青森県,下北郡佐井村,level3
024406,青森県,三戸郡,level2
024414,青森県,三戸郡三戸町,level3
024422,青森県,三戸郡五戸町,level3
024431,青森県,三戸郡田子町,level3
024457,青森県,三戸郡南部町,level3
024465,青森県,三戸郡階上町,level3
024503,青森県,三戸郡新郷村,level3
030007,岩手県,-,level1
032018,岩手県,盛岡市,level3
032026,岩手県,宮古市,level3
032034,岩手県,大船渡市,level3
032051,岩手県,花巻市,level3
032069,岩手県,北上市,level3
032077,岩手県,久慈市,level3
032085,岩手県,遠野市,level3
032093,岩手県,一関市,level3
032107,岩手県,陸前高田市,level3
032115,岩手県,釜石市,level3
032131,岩手県,二戸市,level3
032140,岩手県,八幡平市,level3
032158,岩手県,奥州市,level3
032166,岩手県,滝沢市,level3
033006,岩手県,岩手郡,level2
033014,岩手県,岩手郡雫石町,level3
033022,岩手県,岩手郡葛巻町,level3
033031,岩手県,岩手郡岩手町,level3
033201,岩手県,紫波郡,level2
033219,岩手県,紫波郡紫波町,level3
033227,岩手県,紫波郡矢巾町,level3
033600,岩手県,和賀郡,level2
033669,岩手県,和賀郡西和賀町,level3
033804,岩手県,胆沢郡,level2
033812,岩手県,胆沢郡金ケ崎町,level3
034002,岩手県,西磐井郡,level2
034029,岩手県,西磐井郡平泉町,level3
034401,岩手県,気仙郡,level2
034410,岩手県,気仙郡住田町,level3
034606,岩手県,上閉伊郡,level2
034614,岩手県,上閉伊郡大槌町,level3
034801,岩手県,下閉伊郡,level2
034827,岩手県,下閉伊郡山田町,level3
034835,岩手県,下閉伊郡岩泉町,level3
034843,岩手県,下閉伊郡田野畑村,level3
034851,岩手県,下閉伊郡普代村,level3
035009,岩手県,九戸郡,level2
035017,岩手県,九戸郡軽米町,level3
035033,岩手県,九戸郡野田村,level3
035068,岩手県,九戸郡九戸村,level3
035076,岩手県,九戸郡洋野町,level3
035203,岩手県,二戸郡,level2
035246,岩手県,二戸郡一戸町,level3
040002,宮城県,-,level1
041009,宮城県,仙台市,level2
041017,宮城県,仙台市青葉区,level3
041025,宮城県,仙台市宮城野区,level3
041033,宮城県,仙台市若林区,level3
041041,宮城県,仙台市太白区,level3
041050,宮城県,仙台市泉区,level3
042021,宮城県,石巻市,level3
042030,宮城県,塩竈市,level3
042056,宮城県,気仙沼市,level3
042064,宮城県,白石市,level3
042072,宮城県,名取市,level3
042081,宮城県,角田市,level3
042099,宮城県,多賀城市,level3
042111,宮城県,岩沼市,level3
042129,宮城県,登米市,level3
042137,宮城県,栗原市,level3
042145,宮城県,東松島市,level3
042153,宮城県,大崎市,level3
042161,宮城県,富谷市,level3
043001,宮城県,刈田郡,level2
043010,宮城県,刈田郡蔵王町,level3
043028,宮城県,刈田郡七ヶ宿町,level3
043206,宮城県,柴田郡,level2
043214,宮城県,柴田郡大河原町,level3
043222,宮城県,柴田郡村田町,level3
043231,宮城県,柴田郡柴田町,level3
043249,宮城県,柴田郡川崎町,level3
043401,宮城県,伊具郡,level2
043419,宮城県,伊具郡丸森町,level3
043605,宮城県,亘理郡,level2
043613,宮城県,亘理郡亘理町,level3
043621,宮城県,亘理郡山元町,level3
044008,宮城県,宮城郡,level2
044016,宮城県,宮城郡松島町,level3
044041,宮城県,宮城郡七ヶ浜町,level3
044067,宮城県,宮城郡利府町,level3
044202,宮城県,黒川郡,level2
044211,宮城県,黒川郡大和町,level3
044229,宮城県,黒川郡大郷町,level3
044245,宮城県,黒川郡大衡村,level3
044407,宮城県,加美郡,level2
044440,宮城県,加美郡色麻町,level3
044458,宮城県,加美郡加美町,level3
045004,宮城県,遠田郡,level2
045012,宮城県,遠田郡涌谷町,level3
045055,宮城県,遠田郡美里町,level3
045802,宮城県,牡鹿郡,level2
045811,宮城県,牡鹿郡女川町,level3
046001,宮城県,本吉郡,level2
046060,宮城県,本吉郡南三陸町,level3
050008,秋田県,-,level1
052019,秋田県,秋田市,level3
052027,秋田県,能代市,level3
052035,秋田県,横手市,level3
052043,秋田県,大館市,level3
052060,秋田県,男鹿市,level3
052078,秋田県,湯沢市,level3
052094,秋田県,鹿角市,level3
052108,秋田県,由利本荘市,level3
052116,秋田県,潟上市,level3
052124,秋田県,大仙市,level3
052132,秋田県,北秋田市,level3
052141,秋田県,にかほ市,level3
052159,秋田県,仙北市,level3
053007,秋田県,鹿角郡,level2
053031,秋田県,鹿角郡小坂町,level3
053201,秋田県,北秋田郡,level2
053279,秋田県,北秋田郡上小阿仁村,level3
053406,秋田県,山本郡,level2
053465,秋田県,山本郡藤里町,level3
053481,秋田県,山本郡三種町,level3
053490,秋田県,山本郡八峰町,level3
053601,秋田県,南秋田郡,level2
053619,秋田県,南秋田郡五城目町,level3
053635,秋田県,南秋田郡八郎潟町,level3
053660,秋田県,南秋田郡井川町,level3
053686,秋田県,南秋田郡大潟村,level3
054208,秋田県,仙北郡,level2
054348,秋田県,仙北郡美郷町,level3
054607,秋田県,雄勝郡,level2
054631,秋田県,雄勝郡羽後町,level3
054640,秋田県,雄勝郡東成瀬村,level3
060003,山形県,-,level1
062014,山形県,山形市,level3
062022,山形県,米沢市,level3
062031,山形県,鶴岡市,level3
062049,山形県,酒田市,level3
062057,山形県,新庄市,level3
062065,山形県,寒河江市,level3
062073,山形県,上山市,level3
062081,山形県,村山市,level3
062090,山形県,長井市,level3
062103,山形県,天童市,level3
062111,山形県,東根市,level3
062120,山形県,尾花沢市,level3
062138,山形県,南陽市,level3
063002,山形県,東村山郡,level2
063011,山形県,東村山郡山辺町,level3
063029,山形県,東村山郡中山町,level3
063207,山形県,西村山郡,level2
063215,山形県,西村山郡河北町,level3
063223,山形県,西村山郡西川町,level3
063231,山形県,西村山郡朝日町,level3
063240,山形県,西村山郡大江町,level3
063401,山形県,北村山郡,level2
063410,山形県,北村山郡大石田町,level3
063606,山形県,最上郡,level2
063614,山形県,最上郡金山町,level3
063622,山形県,最上郡最上町,level3
063631,山形県,最上郡舟形町,level3
063649,山形県,最上郡真室川町,level3
063657,山形県,最上郡大蔵村,level3
063665,山形県,最上郡鮭川村,level3
063673,山形県,最上郡戸沢村,level3
063801,山形県,東置賜郡,level2
063819,山形県,東置賜郡高畠町,level3
063827,山形県,東置賜郡川西町,level3
064009,山形県,西置賜郡,level2
064017,山形県,西置賜郡小国町,level3
064025,山形県,西置賜郡白鷹町,level3
064033,山形県,西置賜郡飯豊町,level3
064203,山形県,東田川郡,level2
064262,山形県,東田川郡三川町,level3
064289,山形県,東田川郡庄内町,level3
064602,山形県,飽海郡,level2
064611,山形県,飽海郡遊佐町,level3
070009,福島県,-,level1
072010,福島県,福島市,level3
072028,福島県,会津若松市,level3
072036,福島県,郡山市,level3
072044,福島県,いわき市,level3
072052,福島県,白河市,level3
072079,福島県,須賀川市,level3
072087,福島県,喜多方市,level3
072095,福島県,相馬市,level3
072109,福島県,二本松市,level3
072117,福島県,田村市,level3
072125,福島県,南相馬市,level3
072133,福島県,伊達市,level3
072141,福島県,本宮市,level3
073008,福島県,伊達郡,level2
073016,福島県,伊達郡桑折町,level3
073032,福島県,伊達郡国見町,level3
073083,福島県,伊達郡川俣町,level3
073202,福島県,安達郡,level2
073229,福島県,安達郡大玉村,level3
073407,福島県,岩瀬郡,level2
073423,福島県,岩瀬郡鏡石町,level3
073440,福島県,岩瀬郡天栄村,level3
073601,福島県,南会津郡,level2
073628,福島県,南会津郡下郷町,level3
073644,福島県,南会津郡檜枝岐村,level3
073679,福島県,南会津郡只見町,level3
073687,福島県,南会津郡南会津町,level3
074004,福島県,耶麻郡,level2
074021,福島県,耶麻郡北塩原村,level3
074055,福島県,耶麻郡西会津町,level3
074071,福島県,耶麻郡磐梯町,level3
074080,福島県,耶麻郡猪苗代町,level3
074209,福島県,河沼郡,level2
074217,福島県,河沼郡会津坂下町,level3
074225,福島県,河沼郡湯川村,level3
074233,福島県,河沼郡柳津町,level3
074403,福島県,大沼郡,level2
074446,福島県,大沼郡三島町,level3
074454,福島県,大沼郡金山町,level3
074462,福島県,大沼郡昭和村,level3
074471,福島県,大沼郡会津美里町,level3
074608,福島県,西白河郡,level2
074616,福島県,西白河郡西郷村,level3
074641,福島県,西白河郡泉崎村,level3
074659,福島県,西白河郡中島村,level3
074667,福島県,西白河郡矢吹町,level3
074802,福島県,東白川郡,level2
074811,福島県,東白川郡棚倉町,level3
074829,福島県,東白川郡矢祭町,level3
074837,福島県,東白川郡塙町,level3
074845,福島県,東白川郡鮫川村,level3
075001,福島県,石川郡,level2
075019,福島県,石川郡石川町,level3
075027,福島県,石川郡玉川村,level3
075035,福島県,石川郡平田村,level3
075043,福島県,石川郡浅川町,level3
075051,福島県,石川郡古殿町,level3
075205,福島県,田村郡,level2
075213,福島県,田村郡三春町,level3
075221,福島県,田村郡小野町,level3
075400,福島県,双葉郡,level2
075418,福島県,双葉郡広野町,level3
075426,福島県,双葉郡楢葉町,level3
075434,福島県,双葉郡富岡町,level3
075442,福島県,双葉郡川内村,level3
075451,福島県,双葉郡大熊町,level3
075469,福島県,双葉郡双葉町,level3
075477,福島県,双葉郡浪江町,level3
075485,福島県,双葉郡葛尾村,level3
075604,福島県,相馬郡,level2
075612,福島県,相馬郡新地町,level3
075647,福島県,相馬郡飯舘村,level3
080004,茨城県,-,level1
082015,茨城県,水戸市,level3
082023,茨城県,日立市,level3
082031,茨城県,土浦市,level3
082040,茨城県,古河市,level3
082058,茨城県,石岡市,level3
082074,茨城県,結城市,level3
082082,茨城県,龍ケ崎市,level3
082104,茨城県,下妻市,level3
082112,茨城県,常総市,level3
082121,茨城県,常陸太田市,level3
082147,茨城県,高萩市,level3
082155,茨城県,北茨城市,level3
082163,茨城県,笠間市,level3
082171,茨城県,取手市,level3
082198,茨城県,牛久市,level3
082201,茨城県,つくば市,level3
082210,茨城県,ひたちなか市,level3
082228,茨城県,鹿嶋市,level3
082236,茨城県,潮来市,level3
082244,茨城県,守谷市,level3
082252,茨城県,常陸大宮市,level3
082261,茨城県,那珂市,level3
082279,茨城県,筑西市,level3
082287,茨城県,坂東市,level3
082295,茨城県,稲敷市,level3
082309,茨城県,かすみがうら市,level3
082317,茨城県,桜川市,level3
082325,茨城県,神栖市,level3
082333,茨城県,行方市,level3
082341,茨城県,鉾田市,level3
082350,茨城県,つくばみらい市,level3
082368,茨城県,小美玉市,level3
083003,茨城県,東茨城郡,level2
083020,茨城県,東茨城郡茨城町,level3
083097,茨城県,東茨城郡大洗町,level3
083101,茨城県,東茨城郡城里町,level3
083402,茨城県,那珂郡,level2
083411,茨城県,那珂郡東海村,level3
083607,茨城県,久慈郡,level2
083640,茨城県,久慈郡大子町,level3
084409,茨城県,稲敷郡,level2
084425,茨城県,稲敷郡美浦村,level3
084433,茨城県,稲敷郡阿見町,level3
084476,茨城県,稲敷郡河内町,level3
085201,茨城県,結城郡,level2
085219,茨城県,結城郡八千代町,level3
085405,茨城県,猿島郡,level2
085421,茨城県,猿島郡五霞町,level3
085464,茨城県,猿島郡境町,level3
085600,茨城県,北相馬郡,level2
085642,茨城県,北相馬郡利根町,level3
090000,栃木県,-,level1
092011,栃木県,宇都宮市,level3
092029,栃木県,足利市,level3
092037,栃木県,栃木市,level3
092045,栃木県,佐野市,level3
092053,栃木県,鹿沼市,level3
092061,栃木県,日光市,level3
092088,栃木県,小山市,level3
092096,栃木県,真岡市,level3
092100,栃木県,大田原市,level3
092118,栃木県,矢板市,level3
092134,栃木県,那須塩原市,level3
092142,栃木県,さくら市,level3
092151,栃木県,那須烏山市,level3
092169,栃木県,下野市,level3
093009,栃木県,河内郡,level2
093017,栃木県,河内郡上三川町,level3
093408,栃木県,芳賀郡,level2
093424,栃木県,芳賀郡益子町,level3
