都道府県,国籍,時点,人口
和歌山県,ペルー,2024/06,20
鳥取県,ペルー,2024/06,2
島根県,ペルー,2024/06,8
岡山県,ペルー,2024/06,130
広島県,ペルー,2024/06,684
山口県,ペルー,2024/06,43
徳島県,ペルー,2024/06,15
香川県,ペルー,2024/06,425
愛媛県,ペルー,2024/06,44
高知県,ペルー,2024/06,8
福岡県,ペルー,2024/06,240
佐賀県,ペルー,2024/06,2
長崎県,ペルー,2024/06,17
熊本県,ペルー,2024/06,10
大分県,ペルー,2024/06,28
宮崎県,ペルー,2024/06,6
鹿児島県,ペルー,2024/06,16
沖縄県,ペルー,2024/06,288
未定・不詳,ペルー,2024/06,25
総数,バングラデシュ,2024/06,31536
北海道,バングラデシュ,2024/06,304
青森県,バングラデシュ,2024/06,22
岩手県,バングラデシュ,2024/06,133
宮城県,バングラデシュ,2024/06,492
秋田県,バングラデシュ,2024/06,13
山形県,バングラデシュ,2024/06,74
福島県,バングラデシュ,2024/06,169
茨城県,バングラデシュ,2024/06,1377
栃木県,バングラデシュ,2024/06,779
群馬県,バングラデシュ,2024/06,1907
埼玉県,バングラデシュ,2024/06,4354
千葉県,バングラデシュ,2024/06,1905
東京都,バングラデシュ,2024/06,7239
神奈川県,バングラデシュ,2024/06,2272
新潟県,バングラデシュ,2024/06,142
富山県,バングラデシュ,2024/06,165
石川県,バングラデシュ,2024/06,241
福井県,バングラデシュ,2024/06,125
山梨県,バングラデシュ,2024/06,90
長野県,バングラデシュ,2024/06,181
岐阜県,バングラデシュ,2024/06,338
静岡県,バングラデシュ,2024/06,579
愛知県,バングラデシュ,2024/06,1293
三重県,バングラデシュ,2024/06,242
滋賀県,バングラデシュ,2024/06,100
京都府,バングラデシュ,2024/06,583
大阪府,バングラデシュ,2024/06,1791
兵庫県,バングラデシュ,2024/06,1495
奈良県,バングラデシュ,2024/06,174
和歌山県,バングラデシュ,2024/06,41
鳥取県,バングラデシュ,2024/06,29
島根県,バングラデシュ,2024/06,142
岡山県,バングラデシュ,2024/06,300
広島県,バングラデシュ,2024/06,569
山口県,バングラデシュ,2024/06,169
徳島県,バングラデシュ,2024/06,92
香川県,バングラデシュ,2024/06,99
愛媛県,バングラデシュ,2024/06,100
高知県,バングラデシュ,2024/06,95
福岡県,バングラデシュ,2024/06,458
佐賀県,バングラデシュ,2024/06,109
長崎県,バングラデシュ,2024/06,31
熊本県,バングラデシュ,2024/06,110
大分県,バングラデシュ,2024/06,248
宮崎県,バングラデシュ,2024/06,105
鹿児島県,バングラデシュ,2024/06,72
沖縄県,バングラデシュ,2024/06,92
未定・不詳,バングラデシュ,2024/06,96
総数,パキスタン,2024/06,27642
北海道,パキスタン,2024/06,732
青森県,パキスタン,2024/06,94
岩手県,パキスタン,2024/06,83
宮城県,パキスタン,2024/06,477
秋田県,パキスタン,2024/06,47
山形県,パキスタン,2024/06,90
福島県,パキスタン,2024/06,230
茨城県,パキスタン,2024/06,3143
栃木県,パキスタン,2024/06,1937
群馬県,パキスタン,2024/06,1518
埼玉県,パキスタン,2024/06,3767
千葉県,パキスタン,2024/06,2310
東京都,パキスタン,2024/06,1686
神奈川県,パキスタン,2024/06,1629
新潟県,パキスタン,2024/06,426
富山県,パキスタン,2024/06,765
石川県,パキスタン,2024/06,71
福井県,パキスタン,2024/06,24
山梨県,パキスタン,2024/06,84
長野県,パキスタン,2024/06,439
岐阜県,パキスタン,2024/06,683
静岡県,パキスタン,2024/06,613
愛知県,パキスタン,2024/06,2725
三重県,パキスタン,2024/06,306
滋賀県,パキスタン,2024/06,68
京都府,パキスタン,2024/06,233
大阪府,パキスタン,2024/06,910
兵庫県,パキスタン,2024/06,528
奈良県,パキスタン,2024/06,72
和歌山県,パキスタン,2024/06,18
鳥取県,パキスタン,2024/06,46
島根県,パキスタン,2024/06,19
岡山県,パキスタン,2024/06,235
広島県,パキスタン,2024/06,162
山口県,パキスタン,2024/06,47
徳島県,パキスタン,2024/06,90
香川県,パキスタン,2024/06,101
愛媛県,パキスタン,2024/06,58
高知県,パキスタン,2024/06,19
福岡県,パキスタン,2024/06,492
佐賀県,パキスタン,2024/06,52
長崎県,パキスタン,2024/06,16
熊本県,パキスタン,2024/06,195
大分県,パキスタン,2024/06,92
宮崎県,パキスタン,2024/06,60
鹿児島県,パキスタン,2024/06,102
沖縄県,パキスタン,2024/06,63
未定・不詳,パキスタン,2024/06,85
総数,カンボジア,2024/06,25384
北海道,カンボジア,2024/06,611
青森県,カンボジア,2024/06,212
岩手県,カンボジア,2024/06,186
宮城県,カンボジア,2024/06,198
秋田県,カンボジア,2024/06,90
山形県,カンボジア,2024/06,130
福島県,カンボジア,2024/06,191
茨城県,カンボジア,2024/06,1426
栃木県,カンボジア,2024/06,452
群馬県,カンボジア,2024/06,485
埼玉県,カンボジア,2024/06,1032
千葉県,カンボジア,2024/06,1240
東京都,カンボジア,2024/06,1046
神奈川県,カンボジア,2024/06,2736
新潟県,カンボジア,2024/06,148
富山県,カンボジア,2024/06,282
石川県,カンボジア,2024/06,164
福井県,カンボジア,2024/06,360
山梨県,カンボジア,2024/06,77
長野県,カンボジア,2024/06,348
岐阜県,カンボジア,2024/06,1240
静岡県,カンボジア,2024/06,539
愛知県,カンボジア,2024/06,2104
三重県,カンボジア,2024/06,407
滋賀県,カンボジア,2024/06,237
京都府,カンボジア,2024/06,535
大阪府,カンボジア,2024/06,881
兵庫県,カンボジア,2024/06,771
奈良県,カンボジア,2024/06,104
和歌山県,カンボジア,2024/06,52
鳥取県,カンボジア,2024/06,103
島根県,カンボジア,2024/06,224
岡山県,カンボジア,2024/06,521
広島県,カンボジア,2024/06,553
山口県,カンボジア,2024/06,131
徳島県,カンボジア,2024/06,266
香川県,カンボジア,2024/06,667
愛媛県,カンボジア,2024/06,436
高知県,カンボジア,2024/06,148
福岡県,カンボジア,2024/06,859
佐賀県,カンボジア,2024/06,160
長崎県,カンボジア,2024/06,518
熊本県,カンボジア,2024/06,1463
大分県,カンボジア,2024/06,373
宮崎県,カンボジア,2024/06,268
鹿児島県,カンボジア,2024/06,253
沖縄県,カンボジア,2024/06,117
未定・不詳,カンボジア,2024/06,40
総数,朝鮮,2024/06,23756
北海道,朝鮮,2024/06,478
青森県,朝鮮,2024/06,53
岩手県,朝鮮,2024/06,74
宮城県,朝鮮,2024/06,219
秋田県,朝鮮,2024/06,41
山形県,朝鮮,2024/06,32
福島県,朝鮮,2024/06,152
茨城県,朝鮮,2024/06,271
栃木県,朝鮮,2024/06,154
群馬県,朝鮮,2024/06,286
埼玉県,朝鮮,2024/06,1226
千葉県,朝鮮,2024/06,588
東京都,朝鮮,2024/06,4356
神奈川県,朝鮮,2024/06,1326
新潟県,朝鮮,2024/06,101
富山県,朝鮮,2024/06,81
石川県,朝鮮,2024/06,151
福井県,朝鮮,2024/06,213
山梨県,朝鮮,2024/06,34
長野県,朝鮮,2024/06,251
岐阜県,朝鮮,2024/06,407
静岡県,朝鮮,2024/06,305
愛知県,朝鮮,2024/06,1657
三重県,朝鮮,2024/06,275
滋賀県,朝鮮,2024/06,269
京都府,朝鮮,2024/06,1368
大阪府,朝鮮,2024/06,3764
兵庫県,朝鮮,2024/06,2223
奈良県,朝鮮,2024/06,136
和歌山県,朝鮮,2024/06,138
鳥取県,朝鮮,2024/06,93
島根県,朝鮮,2024/06,39
岡山県,朝鮮,2024/06,296
広島県,朝鮮,2024/06,658
山口県,朝鮮,2024/06,547
徳島県,朝鮮,2024/06,24
香川県,朝鮮,2024/06,47
愛媛県,朝鮮,2024/06,89
高知県,朝鮮,2024/06,33
福岡県,朝鮮,2024/06,982
佐賀県,朝鮮,2024/06,66
長崎県,朝鮮,2024/06,32
熊本県,朝鮮,2024/06,44
大分県,朝鮮,2024/06,118
宮崎県,朝鮮,2024/06,9
鹿児島県,朝鮮,2024/06,26
沖縄県,朝鮮,2024/06,22
未定・不詳,朝鮮,2024/06,2
総数,モンゴル,2024/06,20416
北海道,モンゴル,2024/06,683
青森県,モンゴル,2024/06,65
岩手県,モンゴル,2024/06,136
宮城県,モンゴル,2024/06,182
秋田県,モンゴル,2024/06,83
山形県,モンゴル,2024/06,115
福島県,モンゴル,2024/06,126
茨城県,モンゴル,2024/06,564
栃木県,モンゴル,2024/06,260
群馬県,モンゴル,2024/06,483
埼玉県,モンゴル,2024/06,2563
千葉県,モンゴル,2024/06,2552
東京都,モンゴル,2024/06,5233
神奈川県,モンゴル,2024/06,1944
新潟県,モンゴル,2024/06,321
富山県,モンゴル,2024/06,157
石川県,モンゴル,2024/06,114
福井県,モンゴル,2024/06,52
山梨県,モンゴル,2024/06,207
長野県,モンゴル,2024/06,146
岐阜県,モンゴル,2024/06,137
静岡県,モンゴル,2024/06,230
愛知県,モンゴル,2024/06,874
三重県,モンゴル,2024/06,330
滋賀県,モンゴル,2024/06,76
京都府,モンゴル,2024/06,210
大阪府,モンゴル,2024/06,759
兵庫県,モンゴル,2024/06,376
奈良県,モンゴル,2024/06,62
和歌山県,モンゴル,2024/06,60
鳥取県,モンゴル,2024/06,52
島根県,モンゴル,2024/06,36
岡山県,モンゴル,2024/06,60
広島県,モンゴル,2024/06,126
山口県,モンゴル,2024/06,20
徳島県,モンゴル,2024/06,77
香川県,モンゴル,2024/06,58
愛媛県,モンゴル,2024/06,16
高知県,モンゴル,2024/06,44
福岡県,モンゴル,2024/06,303
佐賀県,モンゴル,2024/06,19
長崎県,モンゴル,2024/06,25
熊本県,モンゴル,2024/06,45
大分県,モンゴル,2024/06,212
宮崎県,モンゴル,2024/06,52
鹿児島県,モンゴル,2024/06,31
沖縄県,モンゴル,2024/06,43
未定・不詳,モンゴル,2024/06,97
総数,英国,2024/06,19587
北海道,英国,2024/06,638
青森県,英国,2024/06,35
岩手県,英国,2024/06,96
宮城県,英国,2024/06,145
秋田県,英国,2024/06,48
山形県,英国,2024/06,55
福島県,英国,2024/06,110
茨城県,英国,2024/06,239
栃木県,英国,2024/06,139
群馬県,英国,2024/06,126
埼玉県,英国,2024/06,735
千葉県,英国,2024/06,976
東京都,英国,2024/06,7307
神奈川県,英国,2024/06,1847
新潟県,英国,2024/06,132
富山県,英国,2024/06,56
石川県,英国,2024/06,90
福井県,英国,2024/06,31
山梨県,英国,2024/06,106
長野県,英国,2024/06,327
岐阜県,英国,2024/06,119
静岡県,英国,2024/06,281
愛知県,英国,2024/06,702
三重県,英国,2024/06,80
滋賀県,英国,2024/06,96
京都府,英国,2024/06,637
大阪府,英国,2024/06,1283
兵庫県,英国,2024/06,750
奈良県,英国,2024/06,99
和歌山県,英国,2024/06,43
鳥取県,英国,2024/06,42
島根県,英国,2024/06,30
岡山県,英国,2024/06,120
広島県,英国,2024/06,222
山口県,英国,2024/06,62
徳島県,英国,2024/06,37
香川県,英国,2024/06,65
愛媛県,英国,2024/06,82
高知県,英国,2024/06,73
福岡県,英国,2024/06,622
佐賀県,英国,2024/06,34
長崎県,英国,2024/06,79
熊本県,英国,2024/06,117
大分県,英国,2024/06,72
宮崎県,英国,2024/06,64
鹿児島県,英国,2024/06,107
沖縄県,英国,2024/06,287
未定・不詳,英国,2024/06,144
総数,その他,2024/06,196843
北海道,その他,2024/06,4939
青森県,その他,2024/06,345
岩手県,その他,2024/06,359
宮城県,その他,2024/06,1627
秋田県,その他,2024/06,442
山形県,その他,2024/06,349
福島県,その他,2024/06,795
茨城県,その他,2024/06,4891
栃木県,その他,2024/06,2254
群馬県,その他,2024/06,2918
埼玉県,その他,2024/06,13135
千葉県,その他,2024/06,12916
東京都,その他,2024/06,59237
神奈川県,その他,2024/06,20476
新潟県,その他,2024/06,1413
富山県,その他,2024/06,1412
石川県,その他,2024/06,788
福井県,その他,2024/06,401
山梨県,その他,2024/06,1004
長野県,その他,2024/06,2524
岐阜県,その他,2024/06,1352
静岡県,その他,2024/06,3326
愛知県,その他,2024/06,11341
三重県,その他,2024/06,2509
滋賀県,その他,2024/06,1567
京都府,その他,2024/06,6024
大阪府,その他,2024/06,10983
兵庫県,その他,2024/06,6558
奈良県,その他,2024/06,1005
和歌山県,その他,2024/06,446
鳥取県,その他,2024/06,302
島根県,その他,2024/06,258
岡山県,その他,2024/06,1138
広島県,その他,2024/06,2305
山口県,その他,2024/06,530
徳島県,その他,2024/06,408
香川県,その他,2024/06,663
愛媛県,その他,2024/06,516
高知県,その他,2024/06,308
福岡県,その他,2024/06,4914
佐賀県,その他,2024/06,305
長崎県,その他,2024/06,770
熊本県,その他,2024/06,919
大分県,その他,2024/06,1093
宮崎県,その他,2024/06,586
鹿児島県,その他,2024/06,684
沖縄県,その他,2024/06,2187
未定・不詳,その他,2024/06,1621
総数,総数,2025/06,3956619
北海道,総数,2025/06,69620
青森県,総数,2025/06,8949
岩手県,総数,2025/06,11775
宮城県,総数,2025/06,31041
秋田県,総数,2025/06,6097
山形県,総数,2025/06,10753
福島県,総数,2025/06,20708
茨城県,総数,2025/06,106490
栃木県,総数,2025/06,59809
群馬県,総数,2025/06,87299
埼玉県,総数,2025/06,277209
千葉県,総数,2025/06,247580
東京都,総数,2025/06,775340
神奈川県,総数,2025/06,306363
新潟県,総数,2025/06,24737
富山県,総数,2025/06,25311
石川県,総数,2025/06,22294
福井県,総数,2025/06,20783
山梨県,総数,2025/06,24392
長野県,総数,2025/06,48288
岐阜県,総数,2025/06,77301
静岡県,総数,2025/06,128311
愛知県,総数,2025/06,345900
三重県,総数,2025/06,71154
滋賀県,総数,2025/06,44345
京都府,総数,2025/06,88337
大阪府,総数,2025/06,360390
兵庫県,総数,2025/06,148569
奈良県,総数,2025/06,20411
和歌山県,総数,2025/06,10736
鳥取県,総数,2025/06,6315
島根県,総数,2025/06,11652
岡山県,総数,2025/06,40130
広島県,総数,2025/06,69897
山口県,総数,2025/06,21866
徳島県,総数,2025/06,9190
香川県,総数,2025/06,20671
愛媛県,総数,2025/06,19069
高知県,総数,2025/06,6996
福岡県,総数,2025/06,119392
佐賀県,総数,2025/06,11953
長崎県,総数,2025/06,16393
熊本県,総数,2025/06,30825
大分県,総数,2025/06,21708
宮崎県,総数,2025/06,12147
鹿児島県,総数,2025/06,20032
沖縄県,総数,2025/06,31249
未定・不詳,総数,2025/06,6842
総数,中国,2025/06,900738
北海道,中国,2025/06,10495
青森県,中国,2025/06,1035
岩手県,中国,2025/06,1571
宮城県,中国,2025/06,5735
秋田県,中国,2025/06,955
山形県,中国,2025/06,1896
福島県,中国,2025/06,3127
茨城県,中国,2025/06,13040
栃木県,中国,2025/06,6509
群馬県,中国,2025/06,6890
埼玉県,中国,2025/06,87047
千葉県,中国,2025/06,63163
東京都,中国,2025/06,294826
神奈川県,中国,2025/06,84236
新潟県,中国,2025/06,4570
富山県,中国,2025/06,4336
石川県,中国,2025/06,3913
福井県,中国,2025/06,1965
山梨県,中国,2025/06,4627
長野県,中国,2025/06,8523
岐阜県,中国,2025/06,9268
静岡県,中国,2025/06,10734
愛知県,中国,2025/06,47656
三重県,中国,2025/06,6615
滋賀県,中国,2025/06,4731
京都府,中国,2025/06,20502
大阪府,中国,2025/06,92946
兵庫県,中国,2025/06,24972
奈良県,中国,2025/06,3158
和歌山県,中国,2025/06,1376
鳥取県,中国,2025/06,724
島根県,中国,2025/06,1095
岡山県,中国,2025/06,7089
広島県,中国,2025/06,12367
山口県,中国,2025/06,2390
徳島県,中国,2025/06,1617
香川県,中国,2025/06,3069
愛媛県,中国,2025/06,2517
高知県,中国,2025/06,957
福岡県,中国,2025/06,22371
佐賀県,中国,2025/06,1000
長崎県,中国,2025/06,2100
熊本県,中国,2025/06,3517
大分県,中国,2025/06,2211
宮崎県,中国,2025/06,839
鹿児島県,中国,2025/06,1724
沖縄県,中国,2025/06,3249
未定・不詳,中国,2025/06,1485
総数,ベトナム,2025/06,660483
北海道,ベトナム,2025/06,14035
青森県,ベトナム,2025/06,2399
岩手県,ベトナム,2025/06,2919
宮城県,ベトナム,2025/06,5078
秋田県,ベトナム,2025/06,1099
山形県,ベトナム,2025/06,3017
福島県,ベトナム,2025/06,5153
茨城県,ベトナム,2025/06,20704
栃木県,ベトナム,2025/06,12015
群馬県,ベトナム,2025/06,16457
埼玉県,ベトナム,2025/06,50331
千葉県,ベトナム,2025/06,39806
東京都,ベトナム,2025/06,57267
神奈川県,ベトナム,2025/06,43152
新潟県,ベトナム,2025/06,5218
富山県,ベトナム,2025/06,5946
石川県,ベトナム,2025/06,5867
福井県,ベトナム,2025/06,4085
山梨県,ベトナム,2025/06,4793
長野県,ベトナム,2025/06,7581
岐阜県,ベトナム,2025/06,15621
静岡県,ベトナム,2025/06,20933
愛知県,ベトナム,2025/06,67842
三重県,ベトナム,2025/06,15224
滋賀県,ベトナム,2025/06,11777
京都府,ベトナム,2025/06,11443
大阪府,ベトナム,2025/06,67611
兵庫県,ベトナム,2025/06,32933
奈良県,ベトナム,2025/06,4962
和歌山県,ベトナム,2025/06,2248
鳥取県,ベトナム,2025/06,1629
島根県,ベトナム,2025/06,1988
岡山県,ベトナム,2025/06,12665
広島県,ベトナム,2025/06,16110
山口県,ベトナム,2025/06,5045
徳島県,ベトナム,2025/06,2332
香川県,ベトナム,2025/06,4751
愛媛県,ベトナム,2025/06,4586
高知県,ベトナム,2025/06,1559
福岡県,ベトナム,2025/06,23169
佐賀県,ベトナム,2025/06,3023
長崎県,ベトナム,2025/06,3241
熊本県,ベトナム,2025/06,7054
大分県,ベトナム,2025/06,3829
宮崎県,ベトナム,2025/06,2993
鹿児島県,ベトナム,2025/06,5569
沖縄県,ベトナム,2025/06,2906
未定・不詳,ベトナム,2025/06,518
総数,韓国,2025/06,409584
北海道,韓国,2025/06,4762
青森県,韓国,2025/06,670
岩手県,韓国,2025/06,664
宮城県,韓国,2025/06,2980
秋田県,韓国,2025/06,480
山形県,韓国,2025/06,1351
福島県,韓国,2025/06,1254
茨城県,韓国,2025/06,4056
栃木県,韓国,2025/06,2202
群馬県,韓国,2025/06,2014
埼玉県,韓国,2025/06,15720
千葉県,韓国,2025/06,15760
東京都,韓国,2025/06,93466
神奈川県,韓国,2025/06,27572
新潟県,韓国,2025/06,1546
富山県,韓国,2025/06,794
石川県,韓国,2025/06,1167
福井県,韓国,2025/06,1730
山梨県,韓国,2025/06,1624
長野県,韓国,2025/06,3051
岐阜県,韓国,2025/06,3095
静岡県,韓国,2025/06,4177
愛知県,韓国,2025/06,25832
三重県,韓国,2025/06,3632
滋賀県,韓国,2025/06,3632
京都府,韓国,2025/06,20414
大阪府,韓国,2025/06,86788
兵庫県,韓国,2025/06,34040
奈良県,韓国,2025/06,3009
和歌山県,韓国,2025/06,1737
鳥取県,韓国,2025/06,781
島根県,韓国,2025/06,524
岡山県,韓国,2025/06,4103
広島県,韓国,2025/06,6361
山口県,韓国,2025/06,4225
徳島県,韓国,2025/06,297
香川県,韓国,2025/06,793
愛媛県,韓国,2025/06,1024
高知県,韓国,2025/06,424
福岡県,韓国,2025/06,14617
佐賀県,韓国,2025/06,583
長崎県,韓国,2025/06,1049
熊本県,韓国,2025/06,1068
大分県,韓国,2025/06,1590
宮崎県,韓国,2025/06,489
鹿児島県,韓国,2025/06,476
沖縄県,韓国,2025/06,1562
未定・不詳,韓国,2025/06,399
総数,フィリピン,2025/06,349714
北海道,フィリピン,2025/06,3822
青森県,フィリピン,2025/06,1048
岩手県,フィリピン,2025/06,1620
宮城県,フィリピン,2025/06,1811
秋田県,フィリピン,2025/06,1012
山形県,フィリピン,2025/06,1117
福島県,フィリピン,2025/06,3246
茨城県,フィリピン,2025/06,12109
栃木県,フィリピン,2025/06,5654
群馬県,フィリピン,2025/06,9697
埼玉県,フィリピン,2025/06,25647
千葉県,フィリピン,2025/06,23951
東京都,フィリピン,2025/06,38016
神奈川県,フィリピン,2025/06,27814
新潟県,フィリピン,2025/06,3402
富山県,フィリピン,2025/06,2983
石川県,フィリピン,2025/06,1721
福井県,フィリピン,2025/06,2399
山梨県,フィリピン,2025/06,2460
長野県,フィリピン,2025/06,5760
岐阜県,フィリピン,2025/06,16562
静岡県,フィリピン,2025/06,21168
愛知県,フィリピン,2025/06,47765
三重県,フィリピン,2025/06,8920
滋賀県,フィリピン,2025/06,3493
京都府,フィリピン,2025/06,3334
大阪府,フィリピン,2025/06,12877
兵庫県,フィリピン,2025/06,6977
奈良県,フィリピン,2025/06,1123
和歌山県,フィリピン,2025/06,993
鳥取県,フィリピン,2025/06,808
島根県,フィリピン,2025/06,1179
岡山県,フィリピン,2025/06,2754
広島県,フィリピン,2025/06,11023
山口県,フィリピン,2025/06,2336
徳島県,フィリピン,2025/06,997
香川県,フィリピン,2025/06,2993
愛媛県,フィリピン,2025/06,4325
高知県,フィリピン,2025/06,970
福岡県,フィリピン,2025/06,7480
佐賀県,フィリピン,2025/06,936
長崎県,フィリピン,2025/06,1931
熊本県,フィリピン,2025/06,4223
大分県,フィリピン,2025/06,2253
宮崎県,フィリピン,2025/06,1116
鹿児島県,フィリピン,2025/06,2754
沖縄県,フィリピン,2025/06,2842
未定・不詳,フィリピン,2025/06,293
総数,ブラジル,2025/06,211229
北海道,ブラジル,2025/06,203
青森県,ブラジル,2025/06,36
岩手県,ブラジル,2025/06,102
宮城県,ブラジル,2025/06,184
秋田県,ブラジル,2025/06,15
山形県,ブラジル,2025/06,85
福島県,ブラジル,2025/06,204
茨城県,ブラジル,2025/06,5764
栃木県,ブラジル,2025/06,3835
群馬県,ブラジル,2025/06,14127
埼玉県,ブラジル,2025/06,7192
千葉県,ブラジル,2025/06,3656
東京都,ブラジル,2025/06,4677
神奈川県,ブラジル,2025/06,9464
新潟県,ブラジル,2025/06,296
富山県,ブラジル,2025/06,2686
石川県,ブラジル,2025/06,1715
福井県,ブラジル,2025/06,5128
山梨県,ブラジル,2025/06,2803
長野県,ブラジル,2025/06,4653
岐阜県,ブラジル,2025/06,12375
静岡県,ブラジル,2025/06,31635
愛知県,ブラジル,2025/06,61003
三重県,ブラジル,2025/06,13941
滋賀県,ブラジル,2025/06,9333
京都府,ブラジル,2025/06,628
大阪府,ブラジル,2025/06,2777
兵庫県,ブラジル,2025/06,2387
奈良県,ブラジル,2025/06,338
和歌山県,ブラジル,2025/06,125
鳥取県,ブラジル,2025/06,56
島根県,ブラジル,2025/06,3980
岡山県,ブラジル,2025/06,867
広島県,ブラジル,2025/06,2299
山口県,ブラジル,2025/06,252
徳島県,ブラジル,2025/06,54
香川県,ブラジル,2025/06,169
愛媛県,ブラジル,2025/06,255
高知県,ブラジル,2025/06,24
福岡県,ブラジル,2025/06,389
佐賀県,ブラジル,2025/06,39
長崎県,ブラジル,2025/06,71
熊本県,ブラジル,2025/06,86
大分県,ブラジル,2025/06,94
宮崎県,ブラジル,2025/06,56
鹿児島県,ブラジル,2025/06,115
沖縄県,ブラジル,2025/06,1012
未定・不詳,ブラジル,2025/06,44
総数,ネパール,2025/06,273229
北海道,ネパール,2025/06,3020
青森県,ネパール,2025/06,253
岩手県,ネパール,2025/06,443
宮城県,ネパール,2025/06,3561
秋田県,ネパール,2025/06,179
山形県,ネパール,2025/06,307
福島県,ネパール,2025/06,1432
茨城県,ネパール,2025/06,4842
栃木県,ネパール,2025/06,4736
群馬県,ネパール,2025/06,6938
埼玉県,ネパール,2025/06,18449
千葉県,ネパール,2025/06,23221
東京都,ネパール,2025/06,58693
神奈川県,ネパール,2025/06,17951
新潟県,ネパール,2025/06,1363
富山県,ネパール,2025/06,505
石川県,ネパール,2025/06,841
福井県,ネパール,2025/06,541
山梨県,ネパール,2025/06,1195
長野県,ネパール,2025/06,2002
岐阜県,ネパール,2025/06,3123
静岡県,ネパール,2025/06,7110
愛知県,ネパール,2025/06,21314
三重県,ネパール,2025/06,3256
滋賀県,ネパール,2025/06,933
京都府,ネパール,2025/06,6400
大阪府,ネパール,2025/06,24727
兵庫県,ネパール,2025/06,10439
奈良県,ネパール,2025/06,1086
和歌山県,ネパール,2025/06,634
鳥取県,ネパール,2025/06,228
島根県,ネパール,2025/06,348
岡山県,ネパール,2025/06,1804
広島県,ネパール,2025/06,2994
山口県,ネパール,2025/06,1127
徳島県,ネパール,2025/06,369
香川県,ネパール,2025/06,643
愛媛県,ネパール,2025/06,629
高知県,ネパール,2025/06,159
福岡県,ネパール,2025/06,20896
佐賀県,ネパール,2025/06,1519
長崎県,ネパール,2025/06,1746
熊本県,ネパール,2025/06,1977
大分県,ネパール,2025/06,1359
宮崎県,ネパール,2025/06,729
鹿児島県,ネパール,2025/06,884
沖縄県,ネパール,2025/06,6178
未定・不詳,ネパール,2025/06,146
総数,インドネシア,2025/06,230689
北海道,インドネシア,2025/06,11167
青森県,インドネシア,2025/06,1225
岩手県,インドネシア,2025/06,1699
宮城県,インドネシア,2025/06,3148
秋田県,インドネシア,2025/06,567
山形県,インドネシア,2025/06,718
福島県,インドネシア,2025/06,1914
茨城県,インドネシア,2025/06,11381
