都道府県,国籍,時点,人口
栃木県,インドネシア,2025/06,4504
群馬県,インドネシア,2025/06,7389
埼玉県,インドネシア,2025/06,12652
千葉県,インドネシア,2025/06,12229
東京都,インドネシア,2025/06,14439
神奈川県,インドネシア,2025/06,12216
新潟県,インドネシア,2025/06,2359
富山県,インドネシア,2025/06,2892
石川県,インドネシア,2025/06,2410
福井県,インドネシア,2025/06,1564
山梨県,インドネシア,2025/06,1228
長野県,インドネシア,2025/06,4926
岐阜県,インドネシア,2025/06,5144
静岡県,インドネシア,2025/06,8282
愛知県,インドネシア,2025/06,18484
三重県,インドネシア,2025/06,4914
滋賀県,インドネシア,2025/06,3144
京都府,インドネシア,2025/06,3807
大阪府,インドネシア,2025/06,13592
兵庫県,インドネシア,2025/06,6287
奈良県,インドネシア,2025/06,1391
和歌山県,インドネシア,2025/06,1021
鳥取県,インドネシア,2025/06,568
島根県,インドネシア,2025/06,712
岡山県,インドネシア,2025/06,4109
広島県,インドネシア,2025/06,6789
山口県,インドネシア,2025/06,2616
徳島県,インドネシア,2025/06,1220
香川県,インドネシア,2025/06,3959
愛媛県,インドネシア,2025/06,2152
高知県,インドネシア,2025/06,1250
福岡県,インドネシア,2025/06,7938
佐賀県,インドネシア,2025/06,2103
長崎県,インドネシア,2025/06,2177
熊本県,インドネシア,2025/06,4047
大分県,インドネシア,2025/06,3095
宮崎県,インドネシア,2025/06,2901
鹿児島県,インドネシア,2025/06,4372
沖縄県,インドネシア,2025/06,3562
未定・不詳,インドネシア,2025/06,426
総数,ミャンマー,2025/06,160362
北海道,ミャンマー,2025/06,5668
青森県,ミャンマー,2025/06,616
岩手県,ミャンマー,2025/06,816
宮城県,ミャンマー,2025/06,1925
秋田県,ミャンマー,2025/06,365
山形県,ミャンマー,2025/06,655
福島県,ミャンマー,2025/06,1146
茨城県,ミャンマー,2025/06,3072
栃木県,ミャンマー,2025/06,2023
群馬県,ミャンマー,2025/06,3836
埼玉県,ミャンマー,2025/06,9682
千葉県,ミャンマー,2025/06,7702
東京都,ミャンマー,2025/06,35585
神奈川県,ミャンマー,2025/06,8078
新潟県,ミャンマー,2025/06,1203
富山県,ミャンマー,2025/06,905
石川県,ミャンマー,2025/06,1487
福井県,ミャンマー,2025/06,1091
山梨県,ミャンマー,2025/06,863
長野県,ミャンマー,2025/06,1500
岐阜県,ミャンマー,2025/06,2968
静岡県,ミャンマー,2025/06,5046
愛知県,ミャンマー,2025/06,8489
三重県,ミャンマー,2025/06,2005
滋賀県,ミャンマー,2025/06,1406
京都府,ミャンマー,2025/06,3076
大阪府,ミャンマー,2025/06,12054
兵庫県,ミャンマー,2025/06,6348
奈良県,ミャンマー,2025/06,1405
和歌山県,ミャンマー,2025/06,599
鳥取県,ミャンマー,2025/06,530
島根県,ミャンマー,2025/06,509
岡山県,ミャンマー,2025/06,1964
広島県,ミャンマー,2025/06,2378
山口県,ミャンマー,2025/06,1163
徳島県,ミャンマー,2025/06,576
香川県,ミャンマー,2025/06,1319
愛媛県,ミャンマー,2025/06,1345
高知県,ミャンマー,2025/06,403
福岡県,ミャンマー,2025/06,5881
佐賀県,ミャンマー,2025/06,1350
長崎県,ミャンマー,2025/06,1402
熊本県,ミャンマー,2025/06,2361
大分県,ミャンマー,2025/06,2882
宮崎県,ミャンマー,2025/06,1248
鹿児島県,ミャンマー,2025/06,1893
沖縄県,ミャンマー,2025/06,1315
未定・不詳,ミャンマー,2025/06,229
総数,台湾,2025/06,71125
北海道,台湾,2025/06,1785
青森県,台湾,2025/06,78
岩手県,台湾,2025/06,122
宮城県,台湾,2025/06,518
秋田県,台湾,2025/06,53
山形県,台湾,2025/06,138
福島県,台湾,2025/06,142
茨城県,台湾,2025/06,1403
栃木県,台湾,2025/06,991
群馬県,台湾,2025/06,455
埼玉県,台湾,2025/06,3413
千葉県,台湾,2025/06,4258
東京都,台湾,2025/06,24796
神奈川県,台湾,2025/06,6472
新潟県,台湾,2025/06,315
富山県,台湾,2025/06,187
石川県,台湾,2025/06,228
福井県,台湾,2025/06,116
山梨県,台湾,2025/06,582
長野県,台湾,2025/06,831
岐阜県,台湾,2025/06,205
静岡県,台湾,2025/06,848
愛知県,台湾,2025/06,2362
三重県,台湾,2025/06,427
滋賀県,台湾,2025/06,270
京都府,台湾,2025/06,2259
大阪府,台湾,2025/06,8330
兵庫県,台湾,2025/06,2280
奈良県,台湾,2025/06,376
和歌山県,台湾,2025/06,123
鳥取県,台湾,2025/06,60
島根県,台湾,2025/06,45
岡山県,台湾,2025/06,208
広島県,台湾,2025/06,474
山口県,台湾,2025/06,111
徳島県,台湾,2025/06,58
香川県,台湾,2025/06,139
愛媛県,台湾,2025/06,111
高知県,台湾,2025/06,65
福岡県,台湾,2025/06,1541
佐賀県,台湾,2025/06,56
長崎県,台湾,2025/06,144
熊本県,台湾,2025/06,2108
大分県,台湾,2025/06,179
宮崎県,台湾,2025/06,51
鹿児島県,台湾,2025/06,159
沖縄県,台湾,2025/06,970
未定・不詳,台湾,2025/06,283
総数,米国,2025/06,68022
北海道,米国,2025/06,1639
青森県,米国,2025/06,425
岩手県,米国,2025/06,240
宮城県,米国,2025/06,812
秋田県,米国,2025/06,254
山形県,米国,2025/06,222
福島県,米国,2025/06,299
茨城県,米国,2025/06,926
栃木県,米国,2025/06,496
群馬県,米国,2025/06,570
埼玉県,米国,2025/06,2340
千葉県,米国,2025/06,2758
東京都,米国,2025/06,23251
神奈川県,米国,2025/06,7135
新潟県,米国,2025/06,393
富山県,米国,2025/06,261
石川県,米国,2025/06,341
福井県,米国,2025/06,222
山梨県,米国,2025/06,380
長野県,米国,2025/06,827
岐阜県,米国,2025/06,452
静岡県,米国,2025/06,918
愛知県,米国,2025/06,2577
三重県,米国,2025/06,332
滋賀県,米国,2025/06,425
京都府,米国,2025/06,2046
大阪府,米国,2025/06,4104
兵庫県,米国,2025/06,2665
奈良県,米国,2025/06,432
和歌山県,米国,2025/06,211
鳥取県,米国,2025/06,95
島根県,米国,2025/06,177
岡山県,米国,2025/06,423
広島県,米国,2025/06,848
山口県,米国,2025/06,477
徳島県,米国,2025/06,191
香川県,米国,2025/06,214
愛媛県,米国,2025/06,259
高知県,米国,2025/06,182
福岡県,米国,2025/06,1860
佐賀県,米国,2025/06,132
長崎県,米国,2025/06,518
熊本県,米国,2025/06,442
大分県,米国,2025/06,365
宮崎県,米国,2025/06,237
鹿児島県,米国,2025/06,320
沖縄県,米国,2025/06,2972
未定・不詳,米国,2025/06,357
総数,タイ,2025/06,66624
北海道,タイ,2025/06,1600
青森県,タイ,2025/06,165
岩手県,タイ,2025/06,252
宮城県,タイ,2025/06,443
秋田県,タイ,2025/06,99
山形県,タイ,2025/06,216
福島県,タイ,2025/06,392
茨城県,タイ,2025/06,5679
栃木県,タイ,2025/06,2183
群馬県,タイ,2025/06,1446
埼玉県,タイ,2025/06,4290
千葉県,タイ,2025/06,7311
東京都,タイ,2025/06,9517
神奈川県,タイ,2025/06,5187
新潟県,タイ,2025/06,472
富山県,タイ,2025/06,247
石川県,タイ,2025/06,403
福井県,タイ,2025/06,471
山梨県,タイ,2025/06,708
長野県,タイ,2025/06,2789
岐阜県,タイ,2025/06,965
静岡県,タイ,2025/06,1848
愛知県,タイ,2025/06,4590
三重県,タイ,2025/06,2030
滋賀県,タイ,2025/06,582
京都府,タイ,2025/06,1055
大阪府,タイ,2025/06,3309
兵庫県,タイ,2025/06,1486
奈良県,タイ,2025/06,516
和歌山県,タイ,2025/06,610
鳥取県,タイ,2025/06,75
島根県,タイ,2025/06,164
岡山県,タイ,2025/06,462
広島県,タイ,2025/06,1653
山口県,タイ,2025/06,226
徳島県,タイ,2025/06,93
香川県,タイ,2025/06,171
愛媛県,タイ,2025/06,175
高知県,タイ,2025/06,79
福岡県,タイ,2025/06,908
佐賀県,タイ,2025/06,110
長崎県,タイ,2025/06,112
熊本県,タイ,2025/06,455
大分県,タイ,2025/06,350
宮崎県,タイ,2025/06,75
鹿児島県,タイ,2025/06,143
沖縄県,タイ,2025/06,364
未定・不詳,タイ,2025/06,148
総数,スリランカ,2025/06,73067
北海道,スリランカ,2025/06,687
青森県,スリランカ,2025/06,48
岩手県,スリランカ,2025/06,27
宮城県,スリランカ,2025/06,863
秋田県,スリランカ,2025/06,125
山形県,スリランカ,2025/06,19
福島県,スリランカ,2025/06,277
茨城県,スリランカ,2025/06,6281
栃木県,スリランカ,2025/06,3594
群馬県,スリランカ,2025/06,2342
埼玉県,スリランカ,2025/06,4524
千葉県,スリランカ,2025/06,13146
東京都,スリランカ,2025/06,5759
神奈川県,スリランカ,2025/06,8456
新潟県,スリランカ,2025/06,440
富山県,スリランカ,2025/06,86
石川県,スリランカ,2025/06,146
福井県,スリランカ,2025/06,83
山梨県,スリランカ,2025/06,245
長野県,スリランカ,2025/06,596
岐阜県,スリランカ,2025/06,1412
静岡県,スリランカ,2025/06,3280
愛知県,スリランカ,2025/06,5429
三重県,スリランカ,2025/06,1847
滋賀県,スリランカ,2025/06,198
京都府,スリランカ,2025/06,1871
大阪府,スリランカ,2025/06,3191
兵庫県,スリランカ,2025/06,1315
奈良県,スリランカ,2025/06,526
和歌山県,スリランカ,2025/06,127
鳥取県,スリランカ,2025/06,37
島根県,スリランカ,2025/06,17
岡山県,スリランカ,2025/06,444
広島県,スリランカ,2025/06,439
山口県,スリランカ,2025/06,155
徳島県,スリランカ,2025/06,105
香川県,スリランカ,2025/06,117
愛媛県,スリランカ,2025/06,148
高知県,スリランカ,2025/06,40
福岡県,スリランカ,2025/06,2066
佐賀県,スリランカ,2025/06,232
長崎県,スリランカ,2025/06,217
熊本県,スリランカ,2025/06,309
大分県,スリランカ,2025/06,886
宮崎県,スリランカ,2025/06,100
鹿児島県,スリランカ,2025/06,167
沖縄県,スリランカ,2025/06,487
未定・不詳,スリランカ,2025/06,161
総数,インド,2025/06,56686
北海道,インド,2025/06,1703
青森県,インド,2025/06,63
岩手県,インド,2025/06,119
宮城県,インド,2025/06,312
秋田県,インド,2025/06,50
山形県,インド,2025/06,69
福島県,インド,2025/06,251
茨城県,インド,2025/06,2506
栃木県,インド,2025/06,1438
群馬県,インド,2025/06,1823
埼玉県,インド,2025/06,2742
千葉県,インド,2025/06,2908
東京都,インド,2025/06,20642
神奈川県,インド,2025/06,8056
新潟県,インド,2025/06,180
富山県,インド,2025/06,285
石川県,インド,2025/06,215
福井県,インド,2025/06,55
山梨県,インド,2025/06,459
長野県,インド,2025/06,181
岐阜県,インド,2025/06,314
静岡県,インド,2025/06,1206
愛知県,インド,2025/06,2223
三重県,インド,2025/06,240
滋賀県,インド,2025/06,302
京都府,インド,2025/06,809
大阪府,インド,2025/06,2095
兵庫県,インド,2025/06,1778
奈良県,インド,2025/06,129
和歌山県,インド,2025/06,99
鳥取県,インド,2025/06,50
島根県,インド,2025/06,56
岡山県,インド,2025/06,181
広島県,インド,2025/06,592
山口県,インド,2025/06,81
徳島県,インド,2025/06,103
香川県,インド,2025/06,92
愛媛県,インド,2025/06,115
高知県,インド,2025/06,115
福岡県,インド,2025/06,697
佐賀県,インド,2025/06,60
長崎県,インド,2025/06,125
熊本県,インド,2025/06,149
大分県,インド,2025/06,214
宮崎県,インド,2025/06,95
鹿児島県,インド,2025/06,78
沖縄県,インド,2025/06,429
未定・不詳,インド,2025/06,202
総数,ペルー,2025/06,49220
北海道,ペルー,2025/06,68
青森県,ペルー,2025/06,11
岩手県,ペルー,2025/06,20
宮城県,ペルー,2025/06,35
秋田県,ペルー,2025/06,7
山形県,ペルー,2025/06,14
福島県,ペルー,2025/06,50
茨城県,ペルー,2025/06,1612
栃木県,ペルー,2025/06,3139
群馬県,ペルー,2025/06,4922
埼玉県,ペルー,2025/06,3344
千葉県,ペルー,2025/06,2691
東京都,ペルー,2025/06,2315
神奈川県,ペルー,2025/06,6454
新潟県,ペルー,2025/06,59
富山県,ペルー,2025/06,60
石川県,ペルー,2025/06,98
福井県,ペルー,2025/06,63
山梨県,ペルー,2025/06,658
長野県,ペルー,2025/06,443
岐阜県,ペルー,2025/06,891
静岡県,ペルー,2025/06,4760
愛知県,ペルー,2025/06,7959
三重県,ペルー,2025/06,3388
滋賀県,ペルー,2025/06,1590
京都府,ペルー,2025/06,183
大阪府,ペルー,2025/06,1360
兵庫県,ペルー,2025/06,835
奈良県,ペルー,2025/06,160
和歌山県,ペルー,2025/06,16
鳥取県,ペルー,2025/06,3
島根県,ペルー,2025/06,8
岡山県,ペルー,2025/06,135
広島県,ペルー,2025/06,689
山口県,ペルー,2025/06,50
徳島県,ペルー,2025/06,18
香川県,ペルー,2025/06,420
愛媛県,ペルー,2025/06,52
高知県,ペルー,2025/06,10
福岡県,ペルー,2025/06,230
佐賀県,ペルー,2025/06,2
長崎県,ペルー,2025/06,25
熊本県,ペルー,2025/06,7
大分県,ペルー,2025/06,23
宮崎県,ペルー,2025/06,10
鹿児島県,ペルー,2025/06,19
沖縄県,ペルー,2025/06,301
未定・不詳,ペルー,2025/06,13
総数,バングラデシュ,2025/06,40045
北海道,バングラデシュ,2025/06,342
青森県,バングラデシュ,2025/06,20
岩手県,バングラデシュ,2025/06,162
宮城県,バングラデシュ,2025/06,588
秋田県,バングラデシュ,2025/06,15
山形県,バングラデシュ,2025/06,98
福島県,バングラデシュ,2025/06,172
茨城県,バングラデシュ,2025/06,1739
栃木県,バングラデシュ,2025/06,834
群馬県,バングラデシュ,2025/06,2339
埼玉県,バングラデシュ,2025/06,5571
千葉県,バングラデシュ,2025/06,2395
東京都,バングラデシュ,2025/06,8994
神奈川県,バングラデシュ,2025/06,2752
新潟県,バングラデシュ,2025/06,168
富山県,バングラデシュ,2025/06,183
石川県,バングラデシュ,2025/06,291
福井県,バングラデシュ,2025/06,186
山梨県,バングラデシュ,2025/06,124
長野県,バングラデシュ,2025/06,194
岐阜県,バングラデシュ,2025/06,464
静岡県,バングラデシュ,2025/06,698
愛知県,バングラデシュ,2025/06,1604
三重県,バングラデシュ,2025/06,312
滋賀県,バングラデシュ,2025/06,142
京都府,バングラデシュ,2025/06,765
大阪府,バングラデシュ,2025/06,2743
兵庫県,バングラデシュ,2025/06,1979
奈良県,バングラデシュ,2025/06,246
和歌山県,バングラデシュ,2025/06,55
鳥取県,バングラデシュ,2025/06,35
島根県,バングラデシュ,2025/06,177
岡山県,バングラデシュ,2025/06,412
広島県,バングラデシュ,2025/06,729
山口県,バングラデシュ,2025/06,231
徳島県,バングラデシュ,2025/06,144
香川県,バングラデシュ,2025/06,142
愛媛県,バングラデシュ,2025/06,115
高知県,バングラデシュ,2025/06,107
福岡県,バングラデシュ,2025/06,701
佐賀県,バングラデシュ,2025/06,138
長崎県,バングラデシュ,2025/06,61
熊本県,バングラデシュ,2025/06,143
大分県,バングラデシュ,2025/06,326
宮崎県,バングラデシュ,2025/06,138
鹿児島県,バングラデシュ,2025/06,83
沖縄県,バングラデシュ,2025/06,133
未定・不詳,バングラデシュ,2025/06,55
総数,パキスタン,2025/06,32478
北海道,パキスタン,2025/06,937
青森県,パキスタン,2025/06,130
岩手県,パキスタン,2025/06,105
宮城県,パキスタン,2025/06,556
秋田県,パキスタン,2025/06,66
山形県,パキスタン,2025/06,100
福島県,パキスタン,2025/06,268
茨城県,パキスタン,2025/06,3750
栃木県,パキスタン,2025/06,2276
群馬県,パキスタン,2025/06,1634
埼玉県,パキスタン,2025/06,4287
千葉県,パキスタン,2025/06,2702
東京都,パキスタン,2025/06,1856
神奈川県,パキスタン,2025/06,1765
新潟県,パキスタン,2025/06,455
富山県,パキスタン,2025/06,867
石川県,パキスタン,2025/06,64
福井県,パキスタン,2025/06,35
山梨県,パキスタン,2025/06,117
長野県,パキスタン,2025/06,488
岐阜県,パキスタン,2025/06,919
静岡県,パキスタン,2025/06,691
愛知県,パキスタン,2025/06,3270
三重県,パキスタン,2025/06,373
滋賀県,パキスタン,2025/06,90
京都府,パキスタン,2025/06,335
大阪府,パキスタン,2025/06,1215
兵庫県,パキスタン,2025/06,649
奈良県,パキスタン,2025/06,89
和歌山県,パキスタン,2025/06,28
鳥取県,パキスタン,2025/06,50
島根県,パキスタン,2025/06,81
岡山県,パキスタン,2025/06,296
広島県,パキスタン,2025/06,201
山口県,パキスタン,2025/06,58
徳島県,パキスタン,2025/06,105
香川県,パキスタン,2025/06,101
愛媛県,パキスタン,2025/06,71
高知県,パキスタン,2025/06,22
福岡県,パキスタン,2025/06,615
佐賀県,パキスタン,2025/06,82
長崎県,パキスタン,2025/06,18
熊本県,パキスタン,2025/06,221
大分県,パキスタン,2025/06,92
宮崎県,パキスタン,2025/06,70
鹿児島県,パキスタン,2025/06,115
沖縄県,パキスタン,2025/06,105
未定・不詳,パキスタン,2025/06,58
総数,カンボジア,2025/06,27887
北海道,カンボジア,2025/06,686
青森県,カンボジア,2025/06,226
岩手県,カンボジア,2025/06,206
宮城県,カンボジア,2025/06,237
秋田県,カンボジア,2025/06,101
山形県,カンボジア,2025/06,168
福島県,カンボジア,2025/06,222
茨城県,カンボジア,2025/06,1521
栃木県,カンボジア,2025/06,471
群馬県,カンボジア,2025/06,535
埼玉県,カンボジア,2025/06,1199
千葉県,カンボジア,2025/06,1443
東京都,カンボジア,2025/06,1219
神奈川県,カンボジア,2025/06,2983
新潟県,カンボジア,2025/06,166
富山県,カンボジア,2025/06,287
石川県,カンボジア,2025/06,186
福井県,カンボジア,2025/06,357
山梨県,カンボジア,2025/06,120
長野県,カンボジア,2025/06,344
岐阜県,カンボジア,2025/06,1374
静岡県,カンボジア,2025/06,656
愛知県,カンボジア,2025/06,2222
三重県,カンボジア,2025/06,462
滋賀県,カンボジア,2025/06,254
京都府,カンボジア,2025/06,632
大阪府,カンボジア,2025/06,1046
兵庫県,カンボジア,2025/06,870
奈良県,カンボジア,2025/06,119
和歌山県,カンボジア,2025/06,56
鳥取県,カンボジア,2025/06,104
島根県,カンボジア,2025/06,211
岡山県,カンボジア,2025/06,514
広島県,カンボジア,2025/06,522
山口県,カンボジア,2025/06,164
徳島県,カンボジア,2025/06,302
香川県,カンボジア,2025/06,763
愛媛県,カンボジア,2025/06,427
高知県,カンボジア,2025/06,172
福岡県,カンボジア,2025/06,964
佐賀県,カンボジア,2025/06,164
長崎県,カンボジア,2025/06,549
熊本県,カンボジア,2025/06,1556
大分県,カンボジア,2025/06,407
宮崎県,カンボジア,2025/06,256
鹿児島県,カンボジア,2025/06,289
沖縄県,カンボジア,2025/06,121
未定・不詳,カンボジア,2025/06,34
総数,朝鮮,2025/06,22711
北海道,朝鮮,2025/06,461
青森県,朝鮮,2025/06,50
岩手県,朝鮮,2025/06,70
宮城県,朝鮮,2025/06,207
秋田県,朝鮮,2025/06,38
山形県,朝鮮,2025/06,28
福島県,朝鮮,2025/06,148
茨城県,朝鮮,2025/06,261
栃木県,朝鮮,2025/06,152
群馬県,朝鮮,2025/06,264
埼玉県,朝鮮,2025/06,1191
千葉県,朝鮮,2025/06,577
東京都,朝鮮,2025/06,4185
神奈川県,朝鮮,2025/06,1258
新潟県,朝鮮,2025/06,96
富山県,朝鮮,2025/06,77
石川県,朝鮮,2025/06,143
福井県,朝鮮,2025/06,204
山梨県,朝鮮,2025/06,33
長野県,朝鮮,2025/06,245
岐阜県,朝鮮,2025/06,387
静岡県,朝鮮,2025/06,289
愛知県,朝鮮,2025/06,1576
三重県,朝鮮,2025/06,262
滋賀県,朝鮮,2025/06,255
京都府,朝鮮,2025/06,1296
大阪府,朝鮮,2025/06,3597
兵庫県,朝鮮,2025/06,2138
奈良県,朝鮮,2025/06,134
和歌山県,朝鮮,2025/06,128
鳥取県,朝鮮,2025/06,85
島根県,朝鮮,2025/06,39
岡山県,朝鮮,2025/06,286
広島県,朝鮮,2025/06,615
山口県,朝鮮,2025/06,524
徳島県,朝鮮,2025/06,24
香川県,朝鮮,2025/06,45
愛媛県,朝鮮,2025/06,87
高知県,朝鮮,2025/06,29
福岡県,朝鮮,2025/06,923
佐賀県,朝鮮,2025/06,62
長崎県,朝鮮,2025/06,28
熊本県,朝鮮,2025/06,45
大分県,朝鮮,2025/06,112
宮崎県,朝鮮,2025/06,8
鹿児島県,朝鮮,2025/06,27
沖縄県,朝鮮,2025/06,20
未定・不詳,朝鮮,2025/06,2
総数,モンゴル,2025/06,21186
北海道,モンゴル,2025/06,644
青森県,モンゴル,2025/06,60
岩手県,モンゴル,2025/06,99
宮城県,モンゴル,2025/06,165
秋田県,モンゴル,2025/06,91
山形県,モンゴル,2025/06,92
福島県,モンゴル,2025/06,124
茨城県,モンゴル,2025/06,569
栃木県,モンゴル,2025/06,303
群馬県,モンゴル,2025/06,447
埼玉県,モンゴル,2025/06,2737
千葉県,モンゴル,2025/06,2749
東京都,モンゴル,2025/06,5608
神奈川県,モンゴル,2025/06,1983
新潟県,モンゴル,2025/06,343
富山県,モンゴル,2025/06,173
石川県,モンゴル,2025/06,120
福井県,モンゴル,2025/06,54
山梨県,モンゴル,2025/06,236
長野県,モンゴル,2025/06,158
岐阜県,モンゴル,2025/06,128
静岡県,モンゴル,2025/06,232
愛知県,モンゴル,2025/06,903
三重県,モンゴル,2025/06,269
滋賀県,モンゴル,2025/06,89
京都府,モンゴル,2025/06,226
大阪府,モンゴル,2025/06,805
兵庫県,モンゴル,2025/06,403
奈良県,モンゴル,2025/06,67
和歌山県,モンゴル,2025/06,45
鳥取県,モンゴル,2025/06,45
島根県,モンゴル,2025/06,38
岡山県,モンゴル,2025/06,74
広島県,モンゴル,2025/06,115
山口県,モンゴル,2025/06,18
徳島県,モンゴル,2025/06,83
香川県,モンゴル,2025/06,60
愛媛県,モンゴル,2025/06,17
高知県,モンゴル,2025/06,51
福岡県,モンゴル,2025/06,324
佐賀県,モンゴル,2025/06,14
長崎県,モンゴル,2025/06,22
熊本県,モンゴル,2025/06,41
大分県,モンゴル,2025/06,216
宮崎県,モンゴル,2025/06,42
鹿児島県,モンゴル,2025/06,30
沖縄県,モンゴル,2025/06,43
未定・不詳,モンゴル,2025/06,31
総数,英国,2025/06,20532
北海道,英国,2025/06,723
青森県,英国,2025/06,34
岩手県,英国,2025/06,129
宮城県,英国,2025/06,146
秋田県,英国,2025/06,57
山形県,英国,2025/06,52
福島県,英国,2025/06,100
茨城県,英国,2025/06,231
栃木県,英国,2025/06,138
群馬県,英国,2025/06,136
埼玉県,英国,2025/06,763
千葉県,英国,2025/06,1018
東京都,英国,2025/06,7596
神奈川県,英国,2025/06,1948
新潟県,英国,2025/06,142
富山県,英国,2025/06,48
石川県,英国,2025/06,96
福井県,英国,2025/06,29
山梨県,英国,2025/06,106
長野県,英国,2025/06,377
岐阜県,英国,2025/06,120
静岡県,英国,2025/06,280
愛知県,英国,2025/06,728
三重県,英国,2025/06,83
滋賀県,英国,2025/06,102
京都府,英国,2025/06,682
大阪府,英国,2025/06,1418
兵庫県,英国,2025/06,757
奈良県,英国,2025/06,103
和歌山県,英国,2025/06,44
鳥取県,英国,2025/06,42
島根県,英国,2025/06,29
岡山県,英国,2025/06,125
広島県,英国,2025/06,225
山口県,英国,2025/06,66
徳島県,英国,2025/06,34
香川県,英国,2025/06,60
愛媛県,英国,2025/06,83
高知県,英国,2025/06,68
福岡県,英国,2025/06,682
佐賀県,英国,2025/06,38
長崎県,英国,2025/06,79
熊本県,英国,2025/06,121
大分県,英国,2025/06,68
宮崎県,英国,2025/06,66
鹿児島県,英国,2025/06,104
沖縄県,英国,2025/06,290
未定・不詳,英国,2025/06,166
総数,その他,2025/06,211008
北海道,その他,2025/06,5173
青森県,その他,2025/06,357
岩手県,その他,2025/06,390
宮城県,その他,2025/06,1737
秋田県,その他,2025/06,469
山形県,その他,2025/06,391
福島県,その他,2025/06,787
茨城県,その他,2025/06,5044
栃木県,その他,2025/06,2316
群馬県,その他,2025/06,3038
埼玉県,その他,2025/06,14088
千葉県,その他,2025/06,14136
東京都,その他,2025/06,62633
神奈川県,その他,2025/06,21431
新潟県,その他,2025/06,1551
富山県,その他,2025/06,1503
石川県,その他,2025/06,842
福井県,その他,2025/06,405
山梨県,その他,2025/06,1031
長野県,その他,2025/06,2819
岐阜県,その他,2025/06,1514
静岡県,その他,2025/06,3520
愛知県,その他,2025/06,12072
三重県,その他,2025/06,2622
滋賀県,その他,2025/06,1597
京都府,その他,2025/06,6574
大阪府,その他,2025/06,13805
兵庫県,その他,2025/06,7031
奈良県,その他,2025/06,1042
和歌山県,その他,2025/06,461
鳥取県,その他,2025/06,310
島根県,その他,2025/06,275
岡山県,その他,2025/06,1215
広島県,その他,2025/06,2474
山口県,その他,2025/06,551
徳島県,その他,2025/06,468
香川県,その他,2025/06,651
愛媛県,その他,2025/06,576
高知県,その他,2025/06,310
福岡県,その他,2025/06,5140
佐賀県,その他,2025/06,310
長崎県,その他,2025/06,778
熊本県,その他,2025/06,895
大分県,その他,2025/06,1157
宮崎県,その他,2025/06,628
鹿児島県,その他,2025/06,711
沖縄県,その他,2025/06,2388
未定・不詳,その他,2025/06,1792
